iter	RMSE
500	0.4980380534
501	0.4979451273
502	0.4979077831
503	0.497857347
504	0.4978296489
505	0.4977883299
506	0.4977382211
507	0.497669177
508	0.4975865479
509	0.4975476608
510	0.4975101265
511	0.4974311427
512	0.497395923
513	0.4973769863
514	0.4973099639
515	0.4972655424
516	0.4972121329
517	0.4971902096
518	0.4971397749
519	0.4970905245
520	0.4970317674
521	0.4969911241
522	0.4969522033
523	0.4969057566
524	0.4968434116
525	0.4968179341
526	0.4967833998
527	0.4967429399
528	0.496680693
529	0.4966455526
530	0.4965995935
531	0.496550657
532	0.4964641507
533	0.4964112436
534	0.4963438861
535	0.4963002133
536	0.4962551021
537	0.4962305868
538	0.4961971757
539	0.4961632285
540	0.4961172991
541	0.4960543427
542	0.4960109583
543	0.4959790157
544	0.4959110903
545	0.495872204
546	0.4958133868
547	0.495791708
548	0.4957558753
549	0.4957223469
550	0.4956967558
551	0.4956335259
552	0.4956024115
553	0.4955475484
554	0.4954963169
555	0.4954224568
556	0.495395975
557	0.4953561795
558	0.4952995304
559	0.4952649928
560	0.495218613
561	0.4951907757
562	0.4951537321
563	0.495136785
564	0.4951050871
565	0.4950786621
566	0.4950204719
567	0.4949834878
568	0.4949555525
569	0.4949114782
570	0.4948598963
571	0.4948081487
572	0.4947847724
573	0.4947317663
574	0.4946939924
575	0.4946528339
576	0.4946012601
577	0.494562354
578	0.4945138247
579	0.4944837821
580	0.4944243389
581	0.4943965244
582	0.4943654607
583	0.4943401221
584	0.4942993579
585	0.4942298721
586	0.4941809742
587	0.4941403544
588	0.4941033026
589	0.4940726038
590	0.4940465235
591	0.494004769
592	0.4939416171
593	0.4939122368
594	0.4938943872
595	0.4938613517
596	0.4938054405
597	0.4937462879
598	0.4936858465
599	0.493647541
600	0.4936281669
601	0.4936087809
602	0.4935815459
603	0.4935116479
604	0.4934712993
605	0.4934462062
606	0.4934150825
607	0.4933480204
608	0.4933181966
609	0.4932853724
610	0.4931853127
611	0.4931638247
612	0.4931181405
613	0.4930876236
614	0.4930787581
615	0.4930310405
616	0.4929951663
617	0.4929335396
618	0.4928450304
619	0.4928017475
620	0.492726041
621	0.4926556118
622	0.4926330348
623	0.492570305
624	0.4925395076
625	0.4924967446
626	0.4924628451
627	0.4924434876
628	0.4924234763
629	0.4923585018
630	0.4923260408
631	0.4922876883
632	0.4922562214
633	0.4922163812
634	0.4922010466
635	0.4921696393
636	0.4921451223
637	0.4921066814
638	0.4920654903
639	0.4920379495
640	0.4920160793
641	0.4919816322
642	0.4919625282
643	0.4919341301
644	0.4918818207
645	0.4918475136
646	0.4918250628
647	0.4917923284
648	0.49173871
649	0.4917174882
650	0.4916528866
651	0.4916291812
652	0.4915976254
653	0.4915406595
654	0.4915138316
655	0.4915024002
656	0.4914531434
657	0.4914177702
658	0.4914077353
659	0.4913939134
660	0.4913547375
661	0.491277713
662	0.4912666643
663	0.4912336262
664	0.4912054302
665	0.4911767111
666	0.4911523005
667	0.4911142202
668	0.491060042
669	0.4910531618
670	0.491023146
671	0.4909911211
672	0.4909685962
673	0.4909521076
674	0.4909108973
675	0.4908846616
676	0.4908675193
677	0.4908349786
678	0.4908037223
679	0.490715247
680	0.4906804269
681	0.4906690945
682	0.4906620373
683	0.4906411736
684	0.4906034929
685	0.4905769117
686	0.4905374768
687	0.4904814676
688	0.4904634065
689	0.4904045222
690	0.490360967
691	0.4903234885
692	0.4902933103
693	0.4902808871
694	0.4902473058
695	0.49023187
696	0.4902055221
697	0.490148028
698	0.490128159
699	0.49009785
700	0.4900769633
701	0.4900646226
702	0.4900341563
703	0.4900330243
704	0.4900104049
705	0.4899743992
706	0.4899442504
707	0.4899216261
708	0.489889875
709	0.4898418377
710	0.4898185998
711	0.4898090041
712	0.4897666818
713	0.4897197203
714	0.4896564903
715	0.4896342247
716	0.4896171819
717	0.4895936705
718	0.4895491121
719	0.4895354956
720	0.4895103918
721	0.4894816022
722	0.4894716894
723	0.4894454351
724	0.4894159833
725	0.4893917363
726	0.4893546555
727	0.489338504
728	0.4893136055
729	0.4892902236
730	0.4892685198
731	0.4892330584
732	0.4891990671
733	0.4891548383
734	0.4891253709
735	0.4891004977
736	0.4890657284
737	0.4889972847
738	0.4889665561
739	0.4889304904
740	0.4888926702
741	0.4888564395
742	0.4888323848
743	0.4887944021
744	0.488740286
745	0.4886998259
746	0.4886688141
747	0.4886419527
748	0.4886212862
749	0.4885808657
750	0.4885409677
751	0.4885155405
752	0.4884874907
753	0.4884748588
754	0.4884436843
755	0.4884151323
756	0.4884082487
757	0.4883386078
758	0.4883016736
759	0.4882988917
760	0.4882845538
761	0.4882531693
762	0.4882308924
763	0.4881843042
764	0.4881434413
765	0.4881096745
766	0.4880764746
767	0.4880372735
768	0.4880279616
769	0.4880148755
770	0.4879713577
771	0.4879414668
772	0.4878979152
773	0.4878711721
774	0.4878606484
775	0.4878326843
776	0.4877944135
777	0.4877518647
778	0.4877125145
779	0.4877002471
780	0.4876437517
781	0.4876278762
782	0.487597051
783	0.4875841937
784	0.4875637466
785	0.4875513123
786	0.4875414794
787	0.4875148816
788	0.4874995462
789	0.487488643
790	0.4874621651
791	0.4874418248
792	0.4874336165
793	0.4874191955
794	0.4873807753
795	0.4873674336
796	0.4873605343
797	0.4873440302
798	0.4873278172
799	0.4872965181
800	0.4872697665
801	0.4872284102
802	0.4871736434
803	0.4871067726
804	0.4870656656
805	0.4870246694
806	0.4869992388
807	0.4869894955
808	0.4869699343
809	0.4869398927
810	0.4869225307
811	0.4868617852
812	0.4868424124
813	0.4868222769
814	0.4868101583
815	0.4867563152
816	0.4867396578
817	0.4867005205
818	0.4866628134
819	0.4866119175
820	0.4865951552
821	0.486593143
822	0.4865595588
823	0.4865316596
824	0.4865306277
825	0.4865192393
826	0.4864958218
827	0.4864390495
828	0.4864001281
829	0.4863791517
830	0.4863346951
831	0.4862844048
832	0.4862579683
833	0.4862118359
834	0.4861958759
835	0.4861619842
836	0.4861363632
837	0.486109791
838	0.4860782013
839	0.486041895
840	0.4860369238
841	0.4859952862
842	0.4859439337
843	0.4859229806
844	0.4859151163
845	0.4858930589
846	0.4858628372
847	0.4857999752
848	0.4857796222
849	0.4857439488
850	0.485698953
851	0.4856494615
852	0.4856408886
853	0.4856142993
854	0.4855876108
855	0.4855731941
856	0.4855368168
857	0.485526444
858	0.4854934189
859	0.4854701232
860	0.4854444708
861	0.4854221762
862	0.4853903915
863	0.4853610462
864	0.4853338206
865	0.4853096676
866	0.4852856897
867	0.4852745077
868	0.485223654
869	0.4851811143
870	0.4851435862
871	0.4851316712
872	0.485093683
873	0.4850046429
874	0.4849925906
875	0.4849417871
876	0.4849087501
877	0.4849024528
878	0.4848633884
879	0.4848212108
880	0.4847841394
881	0.4847489797
882	0.4847284935
883	0.4847094057
884	0.4846829113
885	0.4846336218
886	0.4846152098
887	0.4845739957
888	0.4845420976
889	0.4845327329
890	0.4844377211
891	0.4844216265
892	0.4843847451
893	0.4843672522
894	0.4843496941
895	0.4843431065
896	0.4843256708
897	0.4843183356
898	0.4842795051
899	0.4842477955
900	0.4842224255
901	0.484205647
902	0.484176908
903	0.4841309107
904	0.4841198736
905	0.4841044247
906	0.4840852423
907	0.4840636855
908	0.4840288953
909	0.4840077382
910	0.4839894955
911	0.4839715148
912	0.4839263639
913	0.4839081317
914	0.4838807
915	0.483845476
916	0.4838127135
917	0.4837947912
918	0.4837877877
919	0.4837765689
920	0.4837643825
921	0.48374363
922	0.4837038278
923	0.4836892367
924	0.4836809052
925	0.4836620052
926	0.483650855
927	0.4836319416
928	0.4835965713
929	0.4835774844
930	0.4835493576
931	0.4835115138
932	0.4834963896
933	0.4834876481
934	0.4834767143
935	0.4834637542
936	0.4834508613
937	0.4834391939
938	0.4834164388
939	0.483385993
940	0.4833825471
941	0.4833714426
942	0.4833576678
943	0.4833125562
944	0.4832969421
945	0.4832707203
946	0.4832456286
947	0.4832210777
948	0.4832026095
949	0.4831402006
950	0.4831249121
951	0.4831026363
952	0.4830868946
953	0.4830774113
954	0.483064425
955	0.483032322
956	0.4829736357
957	0.482944283
958	0.4829066349
959	0.4828853307
960	0.4828688522
961	0.4828523338
962	0.4828282744
963	0.4828044173
964	0.4827935022
965	0.4827689354
966	0.4827619855
967	0.4827578109
968	0.4827223795
969	0.4826987916
970	0.4826812586
971	0.4826628497
972	0.4826487665
973	0.4826345184
974	0.4826225635
975	0.4825974128
976	0.4825195594
977	0.4825085528
978	0.4824589188
979	0.4824480718
980	0.4824330175
981	0.4824110983
982	0.482400588
983	0.4823466351
984	0.4823277039
985	0.4823079269
986	0.4822907336
987	0.4822653317
988	0.4822360504
989	0.4822149917
990	0.4821857069
991	0.4821701728
992	0.48215537
993	0.4820816738
994	0.4820670114
995	0.4820482888
996	0.4820299026
997	0.48200723
998	0.4819786082
999	0.4819598447
